Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
02-22-2019,AQS,481130069,3,0.019,ppm,18,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-23-2019,AQS,481130069,3,0.046,ppm,43,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-24-2019,AQS,481130069,3,0.047,ppm,44,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-25-2019,AQS,481130069,3,0.039,ppm,36,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-26-2019,AQS,481130069,3,0.027,ppm,25,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-27-2019,AQS,481130069,3,0.018,ppm,17,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-28-2019,AQS,481130069,3,0.023,ppm,21,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-03-19,AQS,481130069,3,0.02,ppm,19,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-03-19,AQS,481130069,3,0.013,ppm,12,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-03-19,AQS,481130069,3,0.04,ppm,37,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-03-19,AQS,481130069,3,0.039,ppm,36,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-03-19,AQS,481130069,3,0.046,ppm,43,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-03-19,AQS,481130069,3,0.047,ppm,44,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
07-03-19,AQS,481130069,3,0.042,ppm,39,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
08-03-19,AQS,481130069,3,0.038,ppm,35,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
09-03-19,AQS,481130069,3,0.049,ppm,45,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-03-19,AQS,481130069,3,0.036,ppm,33,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-03-19,AQS,481130069,3,0.039,ppm,36,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-03-19,AQS,481130069,3,0.029,ppm,27,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-14-2019,AQS,481130069,3,0.048,ppm,44,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-15-2019,AQS,481130069,3,0.047,ppm,44,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-16-2019,AQS,481130069,3,0.05,ppm,46,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-17-2019,AQS,481130069,3,0.052,ppm,48,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-18-2019,AQS,481130069,3,0.054,ppm,50,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-19-2019,AQS,481130069,3,0.057,ppm,58,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-20-2019,AQS,481130069,3,0.053,ppm,49,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-21-2019,AQS,481130069,3,0.057,ppm,58,Dallas Hinton,17,100,44201,Ozone,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
