Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
09-11-18,AQS,481130069,2,29.8,ppb,27,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-11-18,AQS,481130069,2,16.6,ppb,15,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-11-18,AQS,481130069,2,7.6,ppb,7,Dallas Hinton,22,92,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-11-18,AQS,481130069,2,7,ppb,7,Dallas Hinton,22,92,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-13-2018,AQS,481130069,2,20,ppb,19,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-14-2018,AQS,481130069,2,32.8,ppb,30,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-15-2018,AQS,481130069,2,32,ppb,30,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-16-2018,AQS,481130069,2,29,ppb,27,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-17-2018,AQS,481130069,2,23.4,ppb,22,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-18-2018,AQS,481130069,2,9.3,ppb,8,Dallas Hinton,20,83,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-19-2018,AQS,481130069,2,30.7,ppb,28,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-20-2018,AQS,481130069,2,31.9,ppb,29,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-21-2018,AQS,481130069,2,49.4,ppb,46,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-22-2018,AQS,481130069,2,27.3,ppb,25,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-23-2018,AQS,481130069,2,37.4,ppb,35,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-24-2018,AQS,481130069,2,26.6,ppb,25,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-25-2018,AQS,481130069,2,6.9,ppb,6,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-26-2018,AQS,481130069,2,29.3,ppb,27,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-27-2018,AQS,481130069,2,27.2,ppb,25,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-28-2018,AQS,481130069,2,25.4,ppb,24,Dallas Hinton,23,96,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-12-18,AQS,481130069,2,28.1,ppb,26,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-12-18,AQS,481130069,2,13.4,ppb,12,Dallas Hinton,22,92,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-12-18,AQS,481130069,2,16.1,ppb,15,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-12-18,AQS,481130069,2,13.5,ppb,12,Dallas Hinton,24,100,42602,Nitrogen dioxide (NO2),19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
